IDE;aitem1;aitem2;aitem3;aitem4;aitem5;aitem6;aitem7;aitem8;aitem9;aitem10;aitem11;aitem12;aitem13;aitem14;aitem15;aitem16;aitem17;aitem18;aitem19;aitem20;aitem21;aitem22;aitem23;aitem24;aitem25;aitem26;aitem27;aitem28;aitem29;aitem30;aitem31;aitem32;aitem33;aitem34;aitem35;aitem36;aitem37
R356;1;5;4;2;1;4;1;4;2;3;2;4;5;2;3;3;5;4;2;1;1;4;2;4;5;5;3;3;4;3;3;5;4;4;4;4;1
R357;3;3;3;3;1;5;5;4;4;2;5;4;2;3;5;5;2;5;2;1;2;5;3;3;1;1;1;5;2;2;2;1;3;3;5;1;2
R358;1;1;1;5;5;2;4;3;3;3;3;2;4;5;5;1;1;1;5;3;3;1;5;4;3;4;1;4;1;2;5;1;3;4;2;4;3
R359;4;1;2;3;4;5;1;3;4;3;5;1;5;4;3;1;2;3;3;1;2;2;2;3;1;5;3;1;5;2;2;5;2;3;5;3;4
R360;1;5;1;5;3;2;3;1;2;3;4;4;2;2;3;1;2;3;1;2;5;4;4;1;3;1;3;2;3;4;5;4;4;2;1;3;4
R361;2;5;4;1;3;2;4;4;2;2;5;4;2;4;2;5;4;4;2;4;2;2;5;3;5;5;5;2;3;3;3;2;4;3;2;2;3
R362;5;2;4;4;5;4;1;3;3;5;5;3;2;5;4;2;3;1;5;5;4;2;2;5;1;2;3;1;2;4;3;2;5;2;5;5;5
R363;5;2;3;5;3;4;5;3;3;3;3;3;4;2;5;1;2;3;1;3;4;5;1;5;2;1;5;1;2;3;3;2;5;1;4;1;2
R364;1;4;3;4;1;1;5;1;3;1;4;1;1;4;2;4;4;2;4;2;5;1;5;5;3;5;2;3;1;4;1;1;2;4;5;4;5
R365;5;1;1;4;2;4;2;2;2;3;5;4;4;5;2;2;4;4;3;2;3;2;2;1;5;1;5;5;2;5;3;2;3;5;1;1;2
R366;3;5;1;4;4;2;5;3;3;3;4;5;3;1;1;2;4;1;5;4;2;2;5;3;4;5;1;5;3;4;1;4;4;2;2;4;4
R367;4;5;1;1;2;2;4;2;5;1;5;1;3;5;1;5;5;2;4;1;5;3;4;3;3;4;1;1;5;1;2;5;2;5;5;5;2
R368;5;3;1;4;1;5;2;2;3;4;3;5;2;5;3;4;3;1;2;2;3;2;5;1;4;2;2;1;1;3;1;5;5;2;5;5;4
R369;5;2;5;5;5;2;3;5;5;2;3;3;2;4;4;3;4;2;4;4;1;2;3;1;1;5;1;1;5;5;4;1;3;1;2;1;5
R370;4;5;3;2;5;1;2;1;1;4;4;5;5;4;3;3;3;1;5;5;1;5;3;5;5;5;2;2;1;5;2;3;4;1;1;4;1
R371;5;2;4;5;2;5;5;2;3;2;4;1;4;2;1;3;3;1;4;3;3;2;1;3;1;1;4;2;1;1;3;2;1;5;2;3;2
R372;1;4;3;3;2;5;4;1;5;2;2;5;4;4;1;4;2;1;5;1;1;4;2;3;4;1;1;2;1;4;4;3;3;5;2;5;4
R373;4;2;1;4;1;5;1;2;5;5;4;5;3;1;5;4;1;2;5;5;2;1;3;4;1;1;3;4;2;3;1;2;1;2;1;1;3
R374;2;2;5;2;3;1;4;4;5;4;2;2;2;5;4;1;5;5;4;2;3;5;3;4;1;3;1;4;3;4;3;5;5;5;2;2;4
R375;3;4;3;2;3;2;3;2;3;5;4;4;2;1;4;1;5;1;1;5;2;3;4;5;3;5;3;2;3;2;3;4;1;4;2;2;2
R376;2;2;3;4;5;5;3;3;2;5;1;3;4;1;4;5;3;3;2;2;1;3;4;4;5;1;3;1;1;1;3;3;2;5;3;3;5
R377;4;4;5;3;2;2;5;4;1;3;5;3;2;1;1;5;2;3;4;4;1;4;2;1;4;3;5;4;2;1;2;3;2;1;3;4;1
R378;2;4;3;1;2;3;5;3;1;3;2;5;4;5;4;1;2;1;1;2;4;3;5;4;5;2;2;3;4;3;4;3;5;1;1;2;4
R379;1;1;2;2;4;1;1;3;2;1;5;3;1;5;1;5;3;4;5;2;3;3;2;3;1;3;2;1;2;3;5;5;1;3;5;4;3
R380;2;5;5;4;4;5;3;5;4;4;3;5;4;4;5;1;5;1;1;1;3;3;5;2;3;3;3;3;3;3;3;5;2;5;5;3;3
R381;2;4;2;1;5;5;5;3;3;4;1;3;2;3;4;5;5;1;3;5;3;3;4;3;3;5;3;5;1;2;5;1;3;2;4;5;3
R382;5;2;3;2;4;3;2;2;2;3;1;2;1;2;4;3;1;3;5;2;4;2;1;5;5;1;3;4;2;3;4;1;4;2;4;1;5
R383;4;4;2;3;2;5;4;5;4;2;2;2;5;4;4;1;2;2;4;1;4;4;5;1;1;2;2;4;2;3;5;3;4;5;4;4;1
R384;5;2;3;3;3;1;3;1;2;5;3;1;5;2;1;5;2;2;1;5;3;4;5;5;4;4;4;2;5;4;4;5;3;4;4;1;1
R385;5;2;5;1;4;1;4;5;2;1;3;3;3;1;3;5;3;3;1;2;2;3;3;1;2;5;4;1;1;3;4;5;1;5;4;4;5
R386;3;4;5;2;2;1;4;1;4;1;5;5;2;2;2;5;2;5;4;4;1;5;1;4;2;5;5;2;1;1;2;2;3;3;3;4;5
R387;1;4;2;2;3;4;1;1;2;1;3;4;3;1;4;3;5;5;1;1;2;1;2;3;3;4;3;4;2;4;2;2;2;2;4;3;1
R388;5;4;4;3;1;1;1;1;4;4;4;3;5;1;3;4;4;1;4;2;1;4;5;4;3;2;3;4;4;2;1;5;1;4;2;5;4
R389;5;5;2;5;2;1;1;4;2;1;4;3;5;3;4;2;2;5;5;3;2;3;1;2;4;2;4;2;4;5;1;1;5;2;4;3;3
R390;2;3;4;4;1;5;2;4;1;4;1;1;4;1;1;3;5;3;1;5;4;2;2;2;1;2;4;4;4;5;4;1;5;2;5;1;5
R391;5;1;5;1;5;3;3;2;4;5;5;3;4;2;1;5;1;1;5;5;1;3;2;1;1;4;4;1;1;3;1;2;5;2;5;3;4
R392;2;3;3;2;5;2;5;2;3;3;4;2;5;1;1;4;5;5;4;1;3;5;3;5;3;1;4;2;5;3;1;2;2;2;1;5;4
R393;4;3;2;4;4;2;1;3;1;4;1;1;4;2;5;1;1;5;2;4;3;3;3;4;3;5;1;1;4;3;1;4;1;1;5;3;1
R394;3;3;2;2;1;1;2;1;3;5;1;4;1;1;1;4;3;2;4;5;5;2;5;3;5;1;4;2;5;3;5;1;3;4;2;1;5
R395;4;2;2;1;4;4;5;5;1;1;2;3;1;2;4;3;2;5;2;4;4;5;4;1;1;5;3;3;5;5;5;5;5;1;2;5;4
R396;3;5;2;5;4;2;5;2;2;2;4;4;2;5;4;3;3;4;4;1;4;5;5;3;3;1;4;1;3;2;1;3;2;5;3;2;1
R397;4;1;2;5;3;3;1;1;4;1;2;5;1;4;4;2;1;5;1;3;4;4;3;3;1;3;5;4;2;5;1;3;2;2;1;3;4
R398;1;3;2;1;2;4;2;4;4;1;2;2;4;1;5;1;1;2;5;2;3;5;4;4;4;2;2;3;3;4;2;4;4;4;3;1;1
R399;5;2;4;3;3;3;3;2;5;4;4;3;1;1;1;1;1;5;3;2;2;2;5;5;2;4;2;5;2;4;1;2;4;2;5;3;1
R400;2;3;4;2;3;2;1;1;4;1;1;1;1;5;1;1;3;2;3;5;2;2;3;4;5;1;4;4;5;1;3;3;2;2;4;1;5
R401;5;1;2;4;1;1;1;1;2;3;3;1;4;3;4;2;2;5;1;5;4;4;2;3;2;3;5;5;5;3;2;1;4;5;5;5;3
R402;5;2;3;3;5;1;5;1;3;2;4;1;2;5;1;2;1;2;3;4;4;3;4;5;1;5;1;3;5;1;3;5;5;5;3;1;5
R403;2;1;4;4;3;3;5;2;2;4;5;4;5;3;3;3;4;4;4;2;1;2;3;3;5;2;3;3;3;3;2;2;3;3;5;2;3
R404;4;5;1;4;2;4;1;4;4;1;3;1;4;3;1;4;4;1;1;5;5;1;3;5;4;2;1;5;3;5;4;2;3;5;5;5;3
R405;4;3;5;4;5;3;5;2;2;1;3;3;2;5;5;4;2;4;2;4;2;3;3;5;4;5;4;3;3;4;1;2;4;2;2;5;1
R406;4;5;2;2;4;1;3;3;5;2;2;1;3;1;5;1;2;2;4;3;3;5;1;4;2;3;3;1;4;5;1;3;2;3;1;4;2
R407;3;3;4;1;1;4;4;1;1;3;2;2;2;3;4;1;2;2;5;5;5;3;4;5;1;3;2;4;2;2;5;5;3;1;3;2;2
R408;2;2;1;4;5;4;4;5;2;5;4;1;3;2;5;5;5;4;5;1;3;2;2;2;4;3;1;4;3;1;3;4;4;1;1;4;1
R409;5;4;5;5;3;3;2;4;3;2;2;2;2;1;5;4;5;1;1;1;4;3;2;3;2;1;2;2;4;4;3;5;2;3;4;4;5
R410;2;4;4;2;4;1;4;1;3;4;1;5;3;1;5;5;4;5;2;4;5;2;3;4;2;4;2;2;4;1;1;4;2;3;5;5;1
R411;4;3;1;2;5;5;3;1;2;3;3;4;3;5;5;4;1;3;3;3;5;1;5;4;3;3;1;2;5;2;5;5;2;1;5;3;3
R412;5;5;2;1;1;1;3;3;5;2;3;5;4;5;3;3;5;1;2;5;3;3;5;4;5;3;3;5;5;4;2;1;3;3;2;5;1
R413;4;5;5;1;1;2;1;2;4;4;4;1;1;5;3;3;2;1;3;5;1;4;1;5;4;2;3;2;4;4;5;5;5;5;1;1;1
R414;4;3;2;5;3;2;5;2;5;5;3;2;3;3;1;3;3;2;3;1;1;4;3;4;2;2;4;5;5;2;1;4;4;4;1;3;3
R415;4;2;5;5;4;5;4;4;2;1;5;2;1;1;1;3;2;3;4;1;2;2;1;3;5;4;5;4;3;1;4;4;4;1;1;1;1
R416;4;2;2;2;4;5;1;3;5;3;2;3;3;4;5;2;2;1;5;5;4;4;3;2;5;2;1;2;4;1;2;5;1;2;3;4;1
R417;5;3;2;3;4;4;2;4;4;5;4;4;5;5;5;5;1;2;3;1;2;3;3;2;4;3;4;5;1;5;3;5;5;2;2;4;4
R418;2;4;1;3;2;2;3;5;5;4;1;4;5;2;5;1;1;4;5;2;1;4;4;3;4;1;3;5;5;3;3;4;3;4;1;3;5
R419;3;1;2;2;2;3;5;5;2;3;3;5;1;4;1;5;1;1;2;2;2;3;5;1;2;1;4;1;2;1;4;3;5;4;5;4;5
R420;2;4;2;2;1;3;5;2;3;5;3;4;1;3;1;3;1;5;3;5;4;4;4;2;3;5;5;5;1;3;1;2;1;2;1;1;1
R421;2;1;1;4;3;5;5;5;4;3;4;5;3;3;5;3;4;3;3;1;1;1;5;5;1;2;1;2;5;2;5;1;1;3;5;1;2
R422;1;5;3;1;4;3;2;3;1;3;3;1;2;2;5;1;1;5;2;4;4;3;3;3;2;2;5;3;2;1;3;3;5;3;4;3;5
R423;5;2;2;5;1;3;1;1;4;3;5;3;2;4;2;3;5;3;2;4;5;3;4;3;5;4;4;3;4;5;3;2;3;5;1;5;3
R424;2;2;5;1;4;3;2;3;2;4;5;4;1;5;3;3;5;5;4;3;4;2;4;1;5;4;4;5;1;1;3;2;1;5;1;3;1
R425;3;3;5;1;5;3;5;3;1;5;5;4;1;2;1;4;1;1;3;4;2;2;4;5;3;2;3;5;1;3;5;2;5;1;5;5;4
R426;5;4;3;1;4;2;1;2;4;5;3;1;4;2;2;3;5;1;3;3;5;4;3;3;4;5;1;1;2;3;5;3;3;5;5;5;1
R427;3;3;1;4;1;4;2;3;3;2;2;1;1;5;5;4;4;2;4;5;3;4;5;4;5;1;4;2;2;2;1;2;2;2;5;3;3
R428;4;4;4;2;5;3;4;3;4;3;1;1;4;4;4;3;5;1;3;3;3;4;4;4;5;5;5;4;3;2;3;5;2;1;4;3;4
R429;4;4;4;4;3;5;1;5;2;5;5;1;1;5;5;4;3;4;2;1;1;5;4;5;1;2;1;2;1;5;5;3;5;2;2;2;5
R430;5;2;3;4;3;1;3;1;3;3;2;5;4;2;3;1;3;4;5;1;5;3;5;4;4;3;5;4;4;2;3;2;1;1;2;2;4
R431;3;4;5;1;4;2;3;4;5;5;3;5;1;5;3;2;5;3;5;3;3;3;1;3;4;3;5;4;1;1;5;1;5;5;2;3;3
R432;5;3;5;2;2;1;1;5;3;1;1;3;4;4;2;4;1;1;1;4;3;3;4;1;1;5;5;4;1;1;1;1;2;3;2;2;2
R433;2;5;4;4;1;1;4;2;1;1;2;2;5;2;2;2;2;2;1;4;3;4;5;5;2;3;1;3;5;2;2;2;5;1;3;5;3
R434;3;5;5;4;5;2;4;2;2;3;5;4;3;3;1;4;5;4;3;2;2;4;1;5;2;2;3;1;5;3;2;4;1;4;5;3;5
R435;5;5;3;2;3;5;3;1;2;5;2;3;2;4;1;4;3;4;1;3;2;1;1;2;4;2;3;3;1;4;1;5;2;5;4;2;2
R436;2;2;5;2;5;3;1;1;1;4;4;2;4;1;3;5;2;2;1;2;1;1;3;2;2;5;2;2;3;4;1;1;1;1;3;3;2
R437;2;1;3;2;2;3;4;5;4;5;5;5;2;1;3;4;5;1;4;2;1;3;3;2;5;1;5;5;4;3;1;4;4;4;4;2;5
R438;1;3;3;2;3;1;1;4;4;3;3;5;4;5;2;2;4;3;5;5;5;4;1;3;2;2;1;3;2;4;5;3;1;4;5;4;5
R439;4;1;4;1;4;3;4;3;2;4;2;5;2;4;1;3;5;2;3;5;4;5;2;3;3;5;1;3;1;1;2;3;3;5;3;4;2
R440;5;4;5;3;4;3;5;2;3;3;1;3;2;2;4;5;4;1;5;3;4;4;5;3;5;4;2;1;3;1;3;3;3;1;2;2;3
R441;3;3;5;5;5;5;3;3;2;3;2;4;2;3;2;2;3;2;4;1;3;1;2;5;5;2;5;3;2;4;5;1;1;3;3;3;3
R442;3;5;4;5;3;1;4;5;5;1;3;4;3;4;3;3;4;1;2;2;2;5;3;5;2;4;1;5;1;5;3;2;5;1;5;3;5
R443;4;1;5;5;2;2;1;2;3;1;3;4;1;1;1;3;5;2;4;4;1;5;3;4;5;2;4;1;5;1;3;3;3;1;3;5;3
R444;5;4;5;2;1;2;2;4;1;2;5;1;3;3;3;4;3;1;2;3;4;2;4;4;1;2;1;4;2;2;2;5;2;2;3;4;4
R445;2;3;3;4;2;3;5;1;4;2;5;3;4;3;1;2;3;5;5;4;4;4;3;2;3;1;2;1;2;2;1;2;2;1;3;1;2
R446;3;4;4;2;3;1;1;5;1;5;4;1;2;3;4;5;5;3;3;4;5;5;3;1;1;2;3;4;5;4;5;5;4;2;4;4;2
R447;4;2;4;2;2;1;2;3;5;4;5;1;4;5;3;2;4;1;1;1;5;5;5;2;3;1;3;2;2;3;1;5;5;5;5;5;1
R448;2;4;2;1;4;5;1;2;5;4;2;1;3;2;5;1;3;1;3;3;3;3;2;4;4;3;4;4;2;1;5;1;2;3;4;4;2
R449;3;2;4;2;2;1;1;5;2;3;5;5;3;2;1;5;3;2;4;5;3;1;1;2;2;1;2;2;4;3;4;3;2;4;3;4;4
R450;4;1;4;5;1;1;3;1;2;5;4;1;3;3;5;4;4;5;5;3;1;4;2;3;3;4;4;5;2;4;2;3;2;1;5;1;2
R451;4;4;1;2;4;3;2;3;3;2;2;3;1;4;4;4;2;1;1;4;4;3;2;4;2;4;1;1;5;2;2;1;5;1;5;3;3
R452;1;2;1;4;1;1;4;2;2;2;2;3;4;3;2;4;4;4;1;2;3;4;3;5;2;3;3;4;4;4;1;2;2;4;5;3;4
R453;1;3;3;1;3;2;3;4;4;1;3;3;2;2;5;4;4;2;3;5;3;1;3;1;1;1;1;4;1;3;2;4;3;4;4;5;2
R454;4;2;2;4;4;3;5;1;5;3;1;5;3;3;3;5;5;4;3;4;3;2;4;1;2;2;1;3;1;5;2;5;3;4;3;5;5
R455;2;2;4;2;1;5;2;2;4;5;4;5;4;5;4;3;5;1;3;5;5;5;2;2;2;4;2;4;1;2;2;1;2;2;5;3;3
R456;1;4;2;2;5;5;2;5;2;2;3;4;5;1;5;5;1;4;1;1;1;5;5;1;2;3;1;5;3;5;1;2;2;4;2;4;2
R457;3;2;2;2;2;4;2;1;5;4;2;4;3;4;1;2;3;4;3;2;3;5;3;1;1;1;3;2;3;2;2;5;1;4;3;2;3
R458;4;3;4;2;4;5;3;3;3;5;3;5;5;3;1;4;1;5;5;2;4;4;3;4;2;2;5;1;2;3;3;3;1;1;1;1;2
R459;3;1;3;2;5;1;3;1;1;5;2;2;3;3;5;3;1;1;2;5;4;1;1;3;3;4;1;4;3;2;3;5;1;5;5;1;5
R460;4;4;5;2;5;2;5;3;4;4;4;5;2;3;2;2;4;3;3;4;2;3;1;5;4;2;5;4;4;4;5;2;3;4;1;5;3
R461;1;4;3;3;2;4;3;4;5;2;2;3;3;5;5;3;3;4;2;5;3;3;4;4;5;5;4;4;3;5;3;1;2;3;5;1;3
R462;1;1;4;5;2;4;2;2;4;1;2;5;1;3;3;3;3;3;4;4;1;3;3;5;5;3;3;4;2;4;1;4;5;3;5;3;2
R463;1;3;2;5;2;5;2;4;2;5;2;2;3;2;5;2;3;1;1;4;5;3;4;2;4;2;5;2;4;5;4;4;3;1;4;4;2
R464;1;2;5;1;1;1;5;5;3;5;1;2;2;4;5;2;2;3;3;5;4;1;4;2;4;2;4;5;1;1;3;3;5;1;3;2;5
R465;4;3;5;1;4;5;1;4;3;5;2;5;4;4;2;2;5;4;4;1;4;4;1;1;1;5;2;1;1;4;1;1;5;4;1;5;3
R466;5;2;5;2;4;1;1;4;1;2;2;2;3;1;4;4;5;4;2;4;4;1;5;4;4;2;3;1;4;3;2;1;2;2;3;2;1
R467;2;4;5;2;1;5;5;2;2;4;5;4;4;2;4;5;5;4;4;3;4;3;4;5;2;3;2;3;4;1;4;3;4;1;5;3;3
R468;4;2;4;3;1;5;5;1;4;2;4;5;5;1;4;4;4;3;4;3;4;1;2;4;3;3;2;1;4;3;3;5;3;4;5;1;4
R469;4;3;1;5;4;5;5;4;3;4;4;2;3;4;5;5;2;4;3;4;4;1;2;1;4;4;5;4;3;1;5;3;4;3;2;2;5
R470;2;4;3;2;4;1;2;2;4;1;2;4;1;5;5;5;1;1;1;2;5;3;5;2;2;2;3;4;4;1;1;3;1;4;1;5;3
R471;4;1;3;2;5;1;2;1;1;4;3;5;2;5;2;3;5;1;5;4;2;1;2;5;4;4;5;1;5;2;5;3;2;4;4;2;2
R472;3;4;4;2;2;4;1;1;4;3;1;3;3;1;4;4;5;2;2;1;2;5;4;3;5;2;5;3;4;3;3;1;2;1;3;4;1
R473;3;4;5;4;4;5;5;2;1;1;5;5;4;3;4;4;1;3;1;2;2;3;2;2;1;5;1;2;1;5;3;1;4;1;1;3;1
R474;2;5;2;3;3;2;4;5;5;3;2;3;3;1;1;5;1;3;4;5;5;2;5;2;4;4;3;1;2;1;2;2;2;3;4;1;2
R475;2;3;3;1;3;5;2;1;2;4;4;2;5;5;4;2;4;4;4;4;4;5;5;1;1;4;1;1;5;1;3;1;2;5;5;1;5
R476;1;3;2;5;1;2;2;5;2;1;4;5;1;1;3;5;1;1;1;3;5;3;5;3;2;4;3;1;5;3;2;1;5;1;5;5;2
R477;3;1;5;3;3;4;5;3;1;5;1;5;3;3;4;3;2;2;1;1;1;3;3;4;1;3;2;1;5;2;5;1;2;2;2;1;2
R478;3;5;1;4;5;3;1;5;1;1;2;4;2;5;1;5;4;2;1;2;2;5;1;4;3;1;2;3;2;3;2;2;4;2;3;1;4
R479;1;3;4;2;4;2;5;5;2;4;1;1;2;4;1;1;2;3;4;1;4;5;2;5;2;4;4;1;5;1;3;5;1;4;5;4;1
R480;4;4;1;1;5;2;5;1;2;3;2;2;1;3;3;1;3;4;2;5;3;1;1;5;2;1;4;5;2;1;1;5;4;3;3;3;3
R481;5;3;2;3;3;2;2;2;3;5;2;2;1;1;5;5;3;3;3;1;3;1;4;2;3;2;1;2;3;3;1;2;1;2;3;5;4
R482;4;2;5;2;5;1;4;1;1;3;2;4;1;2;4;2;3;5;4;3;1;5;4;2;4;3;5;2;1;1;2;2;2;4;1;5;3
R483;4;1;2;2;2;1;1;4;3;5;3;4;5;3;3;4;4;3;3;5;4;4;3;1;5;1;2;5;4;3;5;1;5;4;1;5;5
R484;3;4;4;2;2;4;1;1;2;3;4;1;1;1;5;1;1;5;3;5;5;4;1;4;4;5;2;1;3;5;2;4;3;5;4;2;2
R485;3;4;1;5;2;2;4;2;2;2;5;4;4;3;2;3;3;1;3;1;1;5;4;2;5;5;2;5;4;5;1;1;5;1;1;5;5
R486;2;3;3;2;4;4;5;5;1;1;5;1;2;5;4;4;1;5;2;3;3;2;5;2;5;5;1;5;4;1;3;4;4;4;4;5;3
R487;1;5;4;4;3;4;1;3;1;3;3;2;4;2;1;5;3;2;4;4;3;5;5;1;3;4;1;1;4;4;4;2;2;2;2;3;5
R488;3;3;5;2;4;4;4;5;3;1;5;1;4;2;1;3;2;1;1;3;1;5;5;2;1;5;4;3;5;3;2;5;2;5;3;5;2
R489;2;3;5;3;4;2;2;3;4;1;4;4;1;1;5;2;1;2;3;2;4;3;2;3;4;5;2;3;2;3;3;3;4;4;1;3;5
R490;1;1;1;2;5;2;5;5;5;2;1;4;2;5;3;4;2;5;3;5;2;1;4;1;1;1;4;3;5;3;2;3;4;5;4;3;1
R491;3;4;1;1;1;2;3;5;1;2;4;3;1;1;1;1;2;4;5;2;3;5;1;3;3;1;4;4;5;4;2;3;5;5;4;1;3
R492;2;5;1;5;1;4;1;1;1;5;3;5;3;3;3;4;1;5;5;3;1;2;1;4;2;1;4;2;4;1;1;4;5;5;4;2;1
R493;4;4;5;2;5;4;4;5;5;4;2;2;4;3;4;3;3;5;3;4;2;2;4;3;2;4;5;1;2;1;2;1;2;2;3;3;1
R494;3;4;2;1;1;1;3;2;4;5;2;1;5;4;5;3;5;4;3;2;3;5;5;1;4;2;3;3;5;5;3;4;2;4;1;5;5
R495;5;5;2;3;4;4;5;5;5;4;3;3;3;3;5;5;3;3;5;1;1;2;5;2;3;1;2;4;2;5;4;1;5;2;5;5;2
R496;2;4;5;3;3;4;5;4;3;2;4;2;3;4;5;4;3;4;3;4;3;4;1;1;1;4;4;5;4;4;1;2;4;3;4;4;3
R497;3;3;4;4;5;3;1;1;3;1;2;2;3;1;4;2;5;5;4;1;1;4;4;5;2;5;4;2;1;2;4;5;3;3;1;5;5
R498;5;4;3;4;2;3;3;5;3;1;5;1;1;3;3;3;4;5;1;4;4;1;4;4;4;3;1;2;3;2;2;2;3;1;3;3;3
R499;1;2;2;2;4;3;3;1;3;4;2;3;1;1;2;2;4;5;5;2;2;1;1;1;4;2;4;2;3;3;4;3;4;1;2;4;4
R500;2;3;2;5;4;4;1;5;2;2;5;5;4;4;1;3;5;4;5;3;2;3;4;5;5;3;2;2;1;3;5;4;3;4;4;3;2
R501;3;2;5;3;5;5;2;4;4;2;4;3;5;5;5;1;1;2;4;3;5;2;3;4;2;2;3;3;3;5;5;5;5;2;3;3;4
R502;2;1;1;5;3;2;2;1;5;3;4;3;3;5;3;4;3;5;4;5;4;5;1;4;5;5;3;1;5;5;3;5;2;2;2;1;4
R503;3;2;1;4;1;1;2;5;5;1;3;5;5;1;2;3;4;4;2;3;4;3;1;5;1;2;5;3;3;1;1;4;1;4;1;2;3
R504;5;2;3;5;2;2;4;1;2;1;5;1;4;3;4;1;1;2;5;1;4;5;1;5;5;3;4;3;5;3;4;4;3;2;1;2;2
R505;4;2;2;1;2;1;2;4;4;5;2;3;5;2;2;4;1;2;2;1;2;5;2;5;3;1;3;3;3;4;2;2;4;3;3;1;2
R506;2;5;3;5;5;5;3;1;3;1;4;3;2;5;1;1;4;4;1;3;3;3;3;1;3;2;4;2;4;2;3;3;4;3;5;2;2
R507;2;4;5;4;3;4;2;1;3;2;3;5;3;5;3;2;4;1;3;3;5;5;3;1;3;2;5;4;1;3;3;3;2;4;4;5;4
R508;1;5;3;1;3;4;4;2;5;5;2;1;3;1;2;4;5;5;4;2;2;3;5;3;1;4;4;4;4;1;3;1;3;3;5;4;4
R509;4;3;1;4;2;3;1;4;5;3;1;3;4;3;2;2;4;4;1;3;5;1;5;2;4;2;4;1;5;2;3;4;1;4;5;5;4
R510;2;2;5;2;4;1;5;1;4;5;1;4;4;2;5;4;2;3;1;2;1;2;4;3;3;1;3;2;4;5;5;1;1;2;2;1;5
R511;3;4;1;3;5;1;3;4;3;1;3;1;2;3;1;3;2;2;1;4;1;1;3;4;4;5;2;5;5;5;1;4;2;1;3;3;1
R512;5;3;2;5;4;1;1;5;5;2;2;4;2;1;3;4;5;5;4;2;5;3;3;1;5;1;5;5;1;5;2;3;4;3;1;3;4
R513;5;1;1;3;1;4;1;3;2;3;4;5;3;4;5;5;1;2;5;1;2;1;2;2;5;2;2;4;1;1;2;4;4;2;3;4;2
R514;4;1;2;2;1;4;1;3;5;2;4;5;5;4;3;1;4;3;2;5;4;5;3;4;2;5;1;5;4;1;5;4;1;2;3;3;5
R515;3;5;3;4;4;2;5;2;1;1;2;2;4;2;5;3;5;3;2;1;3;3;5;1;2;2;1;5;5;3;4;1;5;3;1;2;4
R516;2;5;1;3;2;5;2;5;2;1;4;2;4;4;4;5;1;5;5;4;3;1;5;5;3;4;2;4;1;5;2;2;5;2;5;1;2
R517;2;2;4;2;5;2;5;5;2;5;2;1;3;2;5;2;5;3;3;2;1;2;3;3;1;4;3;2;2;2;4;3;1;5;1;1;4
R518;3;4;5;3;3;5;1;3;5;1;5;2;3;3;3;1;4;5;4;3;3;4;1;5;3;1;1;5;2;1;2;3;3;2;5;5;2
R519;5;1;3;2;1;1;4;1;3;3;2;5;1;4;1;1;3;1;2;1;1;1;2;5;2;1;5;1;3;3;5;1;3;2;4;4;4
R520;4;5;3;3;5;5;4;2;5;5;4;5;1;2;2;4;2;5;1;1;2;1;4;2;4;1;2;3;4;5;3;1;2;1;3;5;2
R521;2;1;1;1;1;4;4;2;2;4;2;5;1;1;3;5;2;1;2;4;2;5;1;2;3;3;2;2;4;4;4;4;5;5;5;4;5
R522;5;5;1;2;2;5;2;5;4;1;2;5;4;1;2;2;1;2;4;1;5;1;2;1;4;1;4;4;3;5;4;2;2;1;2;5;4
R523;2;5;3;2;5;4;1;4;1;3;3;1;1;4;3;2;3;4;4;5;1;3;5;5;5;1;2;2;3;1;4;5;4;4;3;3;5
R524;4;4;2;5;3;5;1;3;1;1;4;5;2;1;3;1;4;4;1;2;4;3;4;4;5;2;3;2;2;5;4;1;1;2;3;2;3
R525;2;5;4;1;1;2;1;5;2;5;1;1;2;4;2;1;4;5;4;5;1;5;4;4;4;1;3;1;1;2;5;5;3;5;4;1;1
R526;1;3;4;2;1;2;5;3;4;4;2;5;2;4;3;2;5;4;2;3;2;2;1;4;5;2;5;3;4;2;3;5;4;1;5;5;1
R527;2;4;1;1;2;4;4;3;5;1;3;4;2;2;2;5;1;2;5;4;5;3;1;4;5;2;2;5;5;5;1;5;4;3;1;2;5
R528;2;1;2;4;1;4;5;5;5;2;1;4;1;3;2;1;3;2;3;2;5;2;4;1;2;5;4;4;4;5;3;2;3;1;1;5;5
R529;5;4;4;5;1;5;5;4;5;2;2;4;5;2;5;2;3;4;2;5;3;1;5;5;2;5;1;4;2;5;3;1;4;1;2;4;3
R530;4;2;2;4;5;1;3;1;5;2;3;5;3;1;3;1;5;2;4;3;4;4;1;5;3;4;4;5;5;1;5;1;1;1;2;4;3
R531;2;5;2;5;5;3;2;5;4;5;2;2;1;3;2;3;4;1;3;2;2;5;1;4;3;2;4;3;5;2;1;3;3;3;2;5;4
R532;4;1;5;5;5;4;2;1;2;3;4;3;4;4;5;3;3;4;3;1;4;1;4;3;5;5;3;1;1;2;1;1;2;5;5;3;3
R533;5;5;5;2;4;1;3;5;1;3;2;4;3;1;3;4;4;5;2;3;5;3;3;3;3;2;2;1;1;2;5;2;4;2;1;4;3
R534;4;5;4;4;1;4;3;4;5;2;4;2;5;5;2;4;2;4;5;5;1;4;3;4;3;3;4;2;5;1;5;5;1;2;4;4;4
